"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"MD2";"PinHeader_1x04_P2.54mm_Vertical";1;"MD2";;;
2;"SERVO POWER";"Power";1;"~";;;
3;"MD5";"PinHeader_1x04_P2.54mm_Vertical";1;"MD5";;;
4;"SW4";"PinHeader_1x02_P2.54mm_Vertical";1;"SW4";;;
5;"ENC5";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC5";;;
6;"3.3V_OUT1";"PinSocket_2x06_P2.54mm_Vertical";1;"3.3V_OUT";;;
7;"R1,R5,R14,R12,R13,R6,R15,R9,R8,R4,R16,R10,R3,R2,R7,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";16;"R";;;
8;"Servo1";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo1";;;
9;"I2C2,I2C1";"PinHeader_1x04_P2.54mm_Vertical";2;"I2C";;;
10;"VMD5/VMD6";"PinHeader_1x11_P2.54mm_Vertical";1;"VMD5/VMD6";;;
11;"SW2";"PinHeader_1x02_P2.54mm_Vertical";1;"SW2";;;
12;"Servo2";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo2";;;
13;"UART1";"PinSocket_1x02_P2.54mm_Vertical";1;"UART_0";;;
14;"5V_OUT1";"PinSocket_2x06_P2.54mm_Vertical";1;"5V_OUT";;;
15;"CAN3.3V1";"PinSocket_1x04_P2.54mm_Vertical";1;"CAN3.3V";;;
16;"CAN5V1";"PinSocket_1x04_P2.54mm_Vertical";1;"CAN5V";;;
17;"VMD3/VMD4";"PinHeader_1x11_P2.54mm_Vertical";1;"VMD3/VMD4";;;
18;"ENC2";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC2";;;
19;"ENC6";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC6";;;
20;"ENC3";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC3";;;
21;"MD3";"PinHeader_1x04_P2.54mm_Vertical";1;"MD3";;;
22;"MD6";"PinHeader_1x04_P2.54mm_Vertical";1;"MD6";;;
23;"MD1";"PinHeader_1x04_P2.54mm_Vertical";1;"MD1";;;
24;"SW3";"PinHeader_1x02_P2.54mm_Vertical";1;"SW3";;;
25;"ENC1";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC1";;;
26;"Servo4";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo4";;;
27;"Servo3";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo3";;;
28;"PL1";"PinHeader_1x02_P2.54mm_Vertical";1;"PL1";;;
29;"SW1";"PinHeader_1x02_P2.54mm_Vertical";1;"SW1";;;
30;"VMD1/VMD2";"PinHeader_1x11_P2.54mm_Vertical";1;"VMD1/VMD2";;;
31;"PL2";"PinHeader_1x02_P2.54mm_Vertical";1;"PL2";;;
32;"UART2";"PinSocket_1x02_P2.54mm_Vertical";1;"UART_1";;;
33;"ENC4";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC4";;;
34;"MD4";"PinHeader_1x04_P2.54mm_Vertical";1;"MD4";;;
35;"J3";"PinHeader_2x10_P2.54mm_Vertical";1;"Conn_02x10_Odd_Even";;;
36;"J1";"PinHeader_2x17_P2.54mm_Vertical";1;"Conn_02x17_Odd_Even";;;
37;"J2";"PinHeader_2x08_P2.54mm_Vertical";1;"Conn_02x08_Odd_Even";;;
38;"J5";"PinHeader_2x15_P2.54mm_Vertical";1;"Conn_02x15_Odd_Even";;;
